symbol,date,open,high,low,close,volume,adj_close
AAPC,2016-06-09,10.40,10.45,10.33,10.45,302100,10.45
AAPC,2016-06-08,10.27,10.45,10.27,10.45,800,10.45
AAPC,2016-06-07,10.37,10.46,10.37,10.45,4500,10.45
AAPC,2016-06-06,10.45,10.45,10.45,10.45,000,10.45
AAPC,2016-06-03,10.399,10.45,10.399,10.45,3700,10.45
AAPC,2016-06-02,10.35,10.43,10.32,10.43,1900,10.43
AAPC,2016-06-01,10.40,10.40,10.40,10.40,200,10.40
AAPC,2016-05-31,10.39,10.39,10.39,10.39,000,10.39
AAPC,2016-05-27,10.39,10.39,10.39,10.39,000,10.39
AAPC,2016-05-26,10.35,10.44,10.33,10.39,19000,10.39
AAPC,2016-05-25,10.311,10.43,10.311,10.43,1200,10.43
AAPC,2016-05-24,10.43,10.43,10.43,10.43,000,10.43
AAPC,2016-05-23,10.43,10.43,10.43,10.43,400,10.43
AAPC,2016-05-20,10.36,10.36,10.36,10.36,000,10.36
AAPC,2016-05-19,10.40,10.40,10.34,10.36,600,10.36
AAPC,2016-05-18,10.37,10.40,10.37,10.40,800,10.40
AAPC,2016-05-17,10.36,10.45,10.35,10.44,2500,10.44
AAPC,2016-05-16,10.43,10.43,10.43,10.43,100,10.43
AAPC,2016-05-13,10.37,10.37,10.37,10.37,000,10.37
AAPC,2016-05-12,10.39,10.39,10.34,10.37,2200,10.37
AAPC,2016-05-11,10.35,10.35,10.35,10.35,000,10.35
AAPC,2016-05-10,10.35,10.35,10.35,10.35,600,10.35
AAPC,2016-05-09,10.35,10.35,10.324,10.35,114200,10.35
AAPC,2016-05-06,10.35,10.35,10.35,10.35,000,10.35
AAPC,2016-05-05,10.35,10.35,10.30,10.35,700100,10.35
AAPC,2016-05-04,10.28,10.29,10.28,10.29,11500,10.29
AAPC,2016-05-03,10.30,10.30,10.30,10.30,000,10.30
AAPC,2016-05-02,10.30,10.30,10.30,10.30,100,10.30
AAPC,2016-04-29,10.31,10.31,10.31,10.31,000,10.31
AAPC,2016-04-28,10.31,10.31,10.31,10.31,100,10.31
AAPC,2016-04-27,10.30,10.30,10.30,10.30,000,10.30
AAPC,2016-04-26,10.30,10.30,10.30,10.30,000,10.30
AAPC,2016-04-25,10.30,10.30,10.30,10.30,100700,10.30
AAPC,2016-04-22,10.34,10.35,10.34,10.35,200,10.35
AAPC,2016-04-21,10.29,10.30,10.29,10.30,800,10.30
AAPC,2016-04-20,10.27,10.304,10.27,10.30,2500,10.30
AAPC,2016-04-19,10.29,10.29,10.29,10.29,100,10.29
AAPC,2016-04-18,10.29,10.29,10.29,10.29,000,10.29
AAPC,2016-04-15,10.39,10.39,10.27,10.29,3200,10.29
AAPC,2016-04-14,10.40,10.40,10.40,10.40,400,10.40
AAPC,2016-04-13,10.26,10.26,10.26,10.26,200,10.26
AAPC,2016-04-12,10.26,10.26,10.26,10.26,400,10.26
AAPC,2016-04-11,10.26,10.26,10.26,10.26,000,10.26
AAPC,2016-04-08,10.25,10.44,10.25,10.26,3800,10.26
AAPC,2016-04-07,10.28,10.28,10.28,10.28,000,10.28
AAPC,2016-04-06,10.28,10.28,10.28,10.28,1400,10.28
AAPC,2016-04-05,10.38,10.38,10.38,10.38,000,10.38
AAPC,2016-04-04,10.38,10.38,10.38,10.38,15200,10.38
AAPC,2016-04-01,10.44,10.44,10.44,10.44,200,10.44
AAPC,2016-03-31,10.43,10.43,10.43,10.43,300,10.43
AAPC,2016-03-30,10.23,10.23,10.23,10.23,000,10.23
AAPC,2016-03-29,10.20,10.23,10.15,10.23,1200,10.23
AAPC,2016-03-28,10.38,10.38,10.38,10.38,000,10.38
AAPC,2016-03-24,10.22,10.38,10.22,10.38,200,10.38
AAPC,2016-03-23,10.20,10.41,10.20,10.41,200,10.41
AAPC,2016-03-22,10.41,10.41,10.41,10.41,000,10.41
AAPC,2016-03-21,10.24,10.41,10.24,10.41,200,10.41
AAPC,2016-03-18,10.20,10.37,10.20,10.37,300,10.37
