symbol,date,open,high,low,close,volume,adj_close
ZIOP,2016-04-29,7.98,8.29,7.85,7.86,1750000,7.86
ZIOP,2016-04-28,7.99,8.31,7.94,7.98,1517300,7.98
ZIOP,2016-04-27,7.79,8.19,7.51,8.04,2194400,8.04
ZIOP,2016-04-26,8.03,8.19,7.81,8.10,2086500,8.10
ZIOP,2016-04-25,8.10,8.17,7.92,8.04,1444400,8.04
ZIOP,2016-04-22,8.18,8.30,7.81,8.09,2161100,8.09
ZIOP,2016-04-21,8.79,8.86,7.95,8.14,4413400,8.14
ZIOP,2016-04-20,8.98,9.18,8.71,8.79,1870800,8.79
ZIOP,2016-04-19,8.94,9.19,8.64,8.88,2902500,8.88
ZIOP,2016-04-18,8.54,9.10,8.47,8.92,2090500,8.92
ZIOP,2016-04-15,8.60,8.72,8.43,8.58,1353200,8.58
ZIOP,2016-04-14,8.57,8.72,8.40,8.62,1211600,8.62
ZIOP,2016-04-13,8.19,8.60,8.11,8.54,2110900,8.54
ZIOP,2016-04-12,8.13,8.20,7.70,8.10,2397400,8.10
ZIOP,2016-04-11,8.48,8.56,8.11,8.14,1658900,8.14
ZIOP,2016-04-08,8.36,8.59,8.28,8.43,1580000,8.43
ZIOP,2016-04-07,8.42,8.70,8.17,8.32,2455200,8.32
ZIOP,2016-04-06,7.73,8.47,7.73,8.47,2860600,8.47
ZIOP,2016-04-05,7.82,8.00,7.58,7.73,2274400,7.73
ZIOP,2016-04-04,7.65,8.32,7.45,7.92,3027300,7.92
ZIOP,2016-04-01,7.34,7.69,7.22,7.62,1991100,7.62
ZIOP,2016-03-31,7.25,7.59,7.20,7.42,1538500,7.42
ZIOP,2016-03-30,7.50,7.72,7.13,7.25,1524000,7.25
ZIOP,2016-03-29,6.94,7.36,6.60,7.34,2152400,7.34
ZIOP,2016-03-28,7.29,7.36,6.86,6.96,1699800,6.96
ZIOP,2016-03-24,7.05,7.38,6.80,7.16,1641800,7.16
ZIOP,2016-03-23,7.82,8.02,7.11,7.15,2302400,7.15
ZIOP,2016-03-22,7.61,8.00,7.61,7.81,1535800,7.81
ZIOP,2016-03-21,7.67,7.93,7.47,7.83,2453500,7.83
ZIOP,2016-03-18,7.60,8.27,7.43,7.66,6525500,7.66
ZIOP,2016-03-17,7.04,7.74,6.93,7.46,2612700,7.46
ZIOP,2016-03-16,7.77,7.91,7.04,7.12,3502800,7.12
ZIOP,2016-03-15,8.30,8.38,7.75,7.76,2930900,7.76
ZIOP,2016-03-14,8.48,8.71,8.22,8.36,1903100,8.36
ZIOP,2016-03-11,8.24,8.50,7.86,8.48,2500400,8.48
ZIOP,2016-03-10,8.81,8.96,8.00,8.16,2790800,8.16
ZIOP,2016-03-09,9.01,9.16,8.57,8.76,2388100,8.76
ZIOP,2016-03-08,9.46,9.48,8.89,8.90,2762600,8.90
ZIOP,2016-03-07,9.14,9.72,8.75,9.49,3034300,9.49
ZIOP,2016-03-04,9.59,9.72,8.28,8.95,4273200,8.95
ZIOP,2016-03-03,9.48,9.74,8.91,9.59,4410700,9.59
ZIOP,2016-03-02,8.52,9.60,8.35,9.45,5307600,9.45
ZIOP,2016-03-01,8.08,8.54,7.90,8.52,4620500,8.52
ZIOP,2016-02-29,7.95,8.25,7.83,7.86,2809100,7.86
ZIOP,2016-02-26,7.79,8.05,7.32,7.84,2744800,7.84
ZIOP,2016-02-25,7.97,8.12,7.54,7.59,2622800,7.59
ZIOP,2016-02-24,7.00,7.99,6.64,7.96,4354100,7.96
ZIOP,2016-02-23,6.33,7.50,6.33,7.27,4159700,7.27
ZIOP,2016-02-22,6.31,6.48,6.20,6.38,2322500,6.38
ZIOP,2016-02-19,6.22,6.33,6.01,6.15,1938600,6.15
ZIOP,2016-02-18,6.45,6.64,6.11,6.13,1845300,6.13
ZIOP,2016-02-17,6.30,6.64,6.20,6.43,3398900,6.43
ZIOP,2016-02-16,5.74,6.29,5.63,6.12,2293000,6.12
ZIOP,2016-02-12,5.69,5.75,5.24,5.60,1888800,5.60
ZIOP,2016-02-11,5.19,5.58,5.10,5.50,1751200,5.50
ZIOP,2016-02-10,5.53,5.99,5.35,5.38,2876200,5.38
ZIOP,2016-02-09,4.71,5.57,4.56,5.46,4109000,5.46
ZIOP,2016-02-08,4.95,5.05,4.76,4.93,2563300,4.93
ZIOP,2016-02-05,5.33,5.40,4.94,5.10,2512700,5.10
ZIOP,2016-02-04,5.13,5.64,5.05,5.35,2415000,5.35
ZIOP,2016-02-03,5.07,5.18,4.80,5.12,2650500,5.12
ZIOP,2016-02-02,5.15,5.34,4.95,5.03,2728500,5.03
ZIOP,2016-02-01,5.00,5.34,4.87,5.26,2358400,5.26
ZIOP,2016-01-29,4.91,5.15,4.75,4.97,3800600,4.97
ZIOP,2016-01-28,5.29,5.60,4.85,4.89,3581800,4.89
ZIOP,2016-01-27,5.63,5.69,5.10,5.14,2579100,5.14
ZIOP,2016-01-26,5.61,5.80,5.30,5.62,1838200,5.62
ZIOP,2016-01-25,5.75,6.10,5.55,5.59,2829000,5.59
ZIOP,2016-01-22,5.77,5.92,5.41,5.78,2375200,5.78
ZIOP,2016-01-21,5.90,6.23,5.48,5.49,3175400,5.49
ZIOP,2016-01-20,5.25,5.90,4.90,5.70,4488900,5.70
ZIOP,2016-01-19,6.05,6.15,5.33,5.47,2753700,5.47
ZIOP,2016-01-15,5.36,5.97,5.35,5.94,3461400,5.94
ZIOP,2016-01-14,5.74,6.30,4.66,5.99,6146800,5.99
ZIOP,2016-01-13,6.28,6.46,5.57,5.66,4850800,5.66
ZIOP,2016-01-12,6.50,6.78,5.94,6.27,3728800,6.27
ZIOP,2016-01-11,7.18,7.24,5.93,6.31,3991400,6.31
ZIOP,2016-01-08,7.22,7.33,6.76,7.00,2418100,7.00
ZIOP,2016-01-07,6.83,7.64,6.75,7.11,3180500,7.11
ZIOP,2016-01-06,7.88,7.90,7.02,7.28,4345700,7.28
ZIOP,2016-01-05,8.00,8.39,7.93,7.98,2610200,7.98
ZIOP,2016-01-04,8.02,8.21,7.88,7.97,2981900,7.97
ZIOP,2015-12-31,8.48,8.68,8.18,8.31,2802400,8.31
ZIOP,2015-12-30,8.34,8.77,8.21,8.48,3234700,8.48
ZIOP,2015-12-29,8.10,8.36,7.93,8.33,2463800,8.33
ZIOP,2015-12-28,8.30,8.40,8.00,8.08,2491500,8.08
ZIOP,2015-12-24,8.33,8.62,8.31,8.40,809500,8.40
ZIOP,2015-12-23,8.18,8.51,8.06,8.44,2367800,8.44
ZIOP,2015-12-22,8.35,8.39,7.81,8.14,3139200,8.14
ZIOP,2015-12-21,8.35,8.59,8.05,8.22,2534200,8.22
ZIOP,2015-12-18,8.27,8.72,8.06,8.07,8083200,8.07
ZIOP,2015-12-17,8.67,8.76,8.03,8.26,3602400,8.26
ZIOP,2015-12-16,8.75,8.99,8.36,8.55,4186100,8.55
ZIOP,2015-12-15,8.91,9.14,8.67,8.70,3144800,8.70
ZIOP,2015-12-14,9.04,9.13,8.02,8.51,4593300,8.51
ZIOP,2015-12-11,9.50,9.68,9.05,9.08,3450200,9.08
ZIOP,2015-12-10,10.03,10.24,9.59,9.65,2653500,9.65
ZIOP,2015-12-09,10.20,10.49,9.84,9.96,2541200,9.96
ZIOP,2015-12-08,10.35,10.90,10.11,10.26,3107700,10.26
ZIOP,2015-12-07,11.30,11.49,9.83,10.06,4637500,10.06
ZIOP,2015-12-04,11.60,11.91,10.31,11.43,7004700,11.43
ZIOP,2015-12-03,12.76,12.99,11.88,12.19,2734500,12.19
ZIOP,2015-12-02,12.68,13.08,12.64,12.69,1559500,12.69
ZIOP,2015-12-01,13.13,13.21,12.56,12.73,2195800,12.73
ZIOP,2015-11-30,13.38,13.70,12.78,13.08,2447500,13.08
ZIOP,2015-11-27,12.86,13.64,12.86,13.29,1276200,13.29
ZIOP,2015-11-25,12.55,13.03,12.55,12.92,1496800,12.92
ZIOP,2015-11-24,12.43,12.78,12.38,12.61,1447500,12.61
ZIOP,2015-11-23,12.53,13.05,12.35,12.65,2238900,12.65
ZIOP,2015-11-20,12.90,13.09,12.39,12.48,3153400,12.48
ZIOP,2015-11-19,13.05,13.74,12.69,12.85,3650500,12.85
ZIOP,2015-11-18,12.80,12.94,12.41,12.81,2937300,12.81
ZIOP,2015-11-17,12.88,13.10,12.30,12.68,2862100,12.68
ZIOP,2015-11-16,12.82,13.46,12.39,12.78,3057000,12.78
ZIOP,2015-11-13,13.00,13.24,12.57,12.94,2549300,12.94
ZIOP,2015-11-12,14.11,14.20,13.08,13.11,3212200,13.11
ZIOP,2015-11-11,14.62,14.73,13.68,14.13,3055700,14.13
ZIOP,2015-11-10,14.00,14.93,13.90,14.57,3919400,14.57
ZIOP,2015-11-09,13.52,14.23,13.41,13.98,3030300,13.98
ZIOP,2015-11-06,12.87,13.96,12.82,13.70,5424200,13.70
ZIOP,2015-11-05,13.31,13.50,12.61,12.90,2562000,12.90
ZIOP,2015-11-04,13.07,13.63,12.80,13.36,3870800,13.36
ZIOP,2015-11-03,11.98,13.33,11.68,13.12,4935200,13.12
ZIOP,2015-11-02,11.43,12.27,11.35,12.25,2922500,12.25
ZIOP,2015-10-30,11.77,12.02,11.01,11.39,2060200,11.39
ZIOP,2015-10-29,12.18,12.43,11.68,11.92,2030600,11.92
ZIOP,2015-10-28,12.06,12.42,11.74,12.23,2998500,12.23
ZIOP,2015-10-27,11.18,12.00,11.15,11.98,3036400,11.98
ZIOP,2015-10-26,10.61,11.21,10.30,11.14,1940200,11.14
ZIOP,2015-10-23,10.55,10.73,10.36,10.61,1554300,10.61
ZIOP,2015-10-22,10.52,10.75,10.01,10.37,1788500,10.37
ZIOP,2015-10-21,10.34,10.60,9.95,10.44,2263700,10.44
ZIOP,2015-10-20,10.84,10.87,10.11,10.29,1834400,10.29
